pixel,wavelength,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int,,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int
,,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70
160,160,3.786765,0.32960004,0.96899223,0.047999997,0.09615385,0.00256,0.7002188,0.02048,0.1946196,0.009877333,0.087269805,0.006976,0.7055915,0.048725333,0.49876532,0.025855998,,0.5069574,1.4301229,0.5070059,1.4304003,0.9912788,1.4306347,0.998355,2.8354774,0.5731957,1.5539199,0.9978435,1.4314027,1.0375348,1.4848425,0.99916565,1.4304003
161,161,3.5945058,0.351744,0.8450549,0.049216,0.082644634,0.00256,0.6084559,0.021184001,0.2136945,0.012117333,0.081378296,0.007104,0.7722317,0.057429332,0.49780712,0.029056001,,0.50725687,1.4300802,0.5070902,1.4304003,0.9920274,1.4307628,0.99667984,2.830507,0.5727231,1.5532373,0.9975012,1.4306986,1.0372941,1.4845866,0.9995381,1.4304003
162,162,3.427154,0.35379198,0.77346945,0.048511997,0.06786427,0.002176,0.53378373,0.020224,0.21876118,0.013034667,0.075260796,0.006463999,0.7882547,0.060992,0.48225468,0.029568,,0.5073995,1.4299735,0.5072706,1.4304003,0.99282074,1.4308054,0.99615383,2.8287578,0.5721345,1.5512748,0.9970836,1.4295255,1.0358346,1.4824535,0.9999554,1.4304003
163,163,3.4896734,0.33523196,0.736612,0.043136,0.051339276,0.001472,0.5237225,0.018368,0.18763797,0.01088,0.06195462,0.004544,0.74539065,0.054336,0.48333332,0.027840002,,0.507565,1.4298881,0.50737816,1.4304003,0.9929828,1.4308909,0.99703944,2.8305707,0.57183224,1.550016,0.9964138,1.4284588,1.0336844,1.4795306,1.0002986,1.4304003
164,164,3.436364,0.314496,0.6963855,0.036992,0.04699093,0.001216,0.5124283,0.017152,0.18676123,0.010112001,0.05675954,0.00352,0.7785108,0.052863996,0.5022728,0.028288005,,0.50765306,1.4299735,0.5074587,1.4304003,0.9925868,1.4310402,0.9981059,2.8328109,0.5698755,1.5454293,0.99592423,1.4282881,1.0307479,1.4753494,1.0005373,1.4304003
165,165,3.231733,0.297216,0.62165594,0.031231998,0.05459509,0.00128,0.53620356,0.017536001,0.16055417,0.008405332,0.054764505,0.0032,0.7931672,0.054976,0.535545,0.028928002,,0.5081638,1.4301655,0.5081163,1.4304003,0.99239624,1.431083,1.000632,2.8368213,0.5671766,1.5391146,0.9958507,1.4285014,1.0274736,1.4703999,1.0006719,1.4304003
166,166,2.9642365,0.27583998,0.53754944,0.026112001,0.044731606,0.00096,0.64042544,0.019264,0.13966705,0.007338666,0.052048728,0.003008,0.785537,0.053994667,0.55527645,0.028288003,,0.5090433,1.4302082,0.5088683,1.4304003,0.9926453,1.4309763,1.0038594,2.8412163,0.56591475,1.5377065,0.99671185,1.4290562,1.0245291,1.4657707,1.0005224,1.4304003
167,167,2.7417173,0.25952,0.4369974,0.020864002,0.0429989,0.000832,0.72335595,0.020415999,0.1323648,0.006997333,0.05483548,0.00352,0.8295558,0.058560006,0.54221636,0.026304001,,0.50984776,1.4303149,0.5097891,1.4304003,0.9923509,1.4308482,1.0059376,2.8408535,0.5666795,1.5411626,0.99772245,1.4298667,1.0233091,1.4638506,1.0004776,1.4304003
168,168,2.436333,0.27552,0.40148303,0.024255998,0.0375626,0.00096,0.7472326,0.025920002,0.17217329,0.010005334,0.055026453,0.004437333,0.90948075,0.076949336,0.54406965,0.032,,0.5106744,1.4304003,0.5108066,1.4304003,0.99235004,1.4306775,1.0083925,2.8401065,0.5688069,1.547264,0.99857056,1.4306986,1.0235049,1.4640214,1.0001494,1.4304003
169,169,2.3151574,0.29619202,0.39441538,0.028928,0.032171585,0.001024,0.73863626,0.029119998,0.20940173,0.013589334,0.051150322,0.004885333,0.92021155,0.09275733,0.50922513,0.035328005,,0.51169944,1.4304003,0.5122271,1.4304003,0.9927017,1.430507,1.0110518,2.8376746,0.5733446,1.5575893,0.9989578,1.4312961,1.0253131,1.4663892,0.99980646,1.4304003
170,170,2.25,0.298368,0.39148238,0.030591998,0.01916933,0.00064,0.7564102,0.030208,0.22568096,0.014848,0.04919423,0.004949333,0.97106695,0.103104,0.4937482,0.036224,,0.51251686,1.4304003,0.51348233,1.4304003,0.9924362,1.4303148,1.0127002,2.8340266,0.5795414,1.5707519,0.9994787,1.4318507,1.0289437,1.4712961,0.99956775,1.4304003
171,171,2.1642354,0.294336,0.38393572,0.030592,0.01699182,0.000576,0.74798065,0.029632002,0.24194607,0.015701333,0.05093946,0.005205333,1.0142664,0.11223467,0.4968962,0.037568007,,0.51297164,1.4304003,0.5147794,1.4304003,0.9920245,1.4302294,1.0142913,2.83136,0.58510196,1.581504,0.99895746,1.4309335,1.0338844,1.4782507,0.9995381,1.4304003
172,172,2.0540538,0.29184,0.3594886,0.030591998,0.015798712,0.000576,0.7543766,0.030335998,0.26992032,0.017344,0.055396568,0.005781333,1.0532892,0.12228266,0.5045381,0.040319994,,0.51337224,1.4304003,0.5158725,1.4304003,0.9915838,1.4301441,1.0157274,2.829952,0.58999145,1.5915735,0.99801975,1.4298242,1.0389589,1.4854399,0.9994188,1.4304003
173,173,1.9587581,0.282688,0.3499509,0.030400002,0.030088495,0.001088,0.7676659,0.030591998,0.30957162,0.019733334,0.05977193,0.006485333,1.0567796,0.12586668,0.5178476,0.041472003,,0.5138955,1.4304003,0.5169383,1.4304003,0.9915547,1.4301655,1.0172592,2.8290985,0.5972341,1.6076586,0.99654657,1.4282241,1.0428151,1.4907306,0.99982125,1.4304003
174,174,1.8166374,0.266944,0.33498758,0.0288,0.040219374,0.001408,0.78544873,0.031552,0.3067756,0.019221334,0.06469107,0.007125333,1.0804101,0.12812799,0.52696073,0.041279998,,0.51415956,1.4304003,0.51745296,1.4304003,0.99174535,1.4301655,1.0183735,2.829525,0.6093689,1.6411946,0.99511987,1.4268799,1.0444769,1.492928,1.0000448,1.4304003
175,175,1.7189912,0.27052796,0.32167193,0.030208,0.048309177,0.00192,0.7778329,0.033536006,0.31978568,0.021653334,0.06645625,0.008085334,1.0889002,0.138752,0.4925037,0.042048,,0.51475567,1.4304003,0.51758087,1.4304003,0.99224436,1.4301867,1.0198272,2.8310187,0.632024,1.7040852,0.99355,1.4261761,1.0431148,1.4911147,1.0004479,1.4304003
176,176,1.664657,0.282752,0.3353158,0.034879997,0.056194127,0.002816,0.7470918,0.036992,0.32005417,0.025194664,0.07319026,0.009749333,1.0537394,0.150592,0.50396293,0.048831996,,0.51560277,1.4304003,0.51778066,1.4304003,0.9922445,1.4302081,1.0215529,2.8322132,0.6604993,1.7835947,0.99254924,1.4266454,1.0398716,1.486656,1.000597,1.4304003
177,177,1.5959376,0.2816,0.34186184,0.037056003,0.057758942,0.0032,0.7181235,0.038208,0.2987076,0.026133332,0.07437761,0.010261334,1.0434418,0.159872,0.50020885,0.051071998,,0.51680696,1.4304003,0.518285,1.4304003,0.9922595,1.430272,1.0232327,2.833749,0.6785819,1.8341762,0.9925115,1.4278615,1.0361352,1.4815573,1.0006866,1.4304003
178,178,1.5259715,0.268864,0.3281715,0.035264,0.052947808,0.003008,0.7092884,0.037632003,0.2722183,0.024895998,0.07192429,0.009728,1.0434315,0.16554666,0.48294514,0.049536,,0.51792467,1.4304003,0.5188505,1.4304003,0.992259,1.4301654,1.0241276,2.8352003,0.6860998,1.8561066,0.99357706,1.4289492,1.0337152,1.4782293,1.0007015,1.4304003
179,179,1.4727843,0.270144,0.2970297,0.034560002,0.045817427,0.002816,0.67920345,0.039295997,0.27188942,0.026432002,0.07867783,0.010816,1.070193,0.18084267,0.5054612,0.053312,,0.5188625,1.4304003,0.51936096,1.4304003,0.99180365,1.4301014,1.0245123,2.836331,0.6848516,1.8521601,0.9951455,1.430016,1.033919,1.4787413,1.0008061,1.4304003
180,180,1.378859,0.262976,0.2549843,0.031104004,0.037198395,0.002368,0.62223727,0.039039996,0.2614826,0.026112001,0.084383644,0.011712001,1.099725,0.19620268,0.5274056,0.055424,,0.5189791,1.4304003,0.51990455,1.4304003,0.99149567,1.4301227,1.0239537,2.8370562,0.67187494,1.81728,0.9964485,1.4305282,1.0381213,1.4849066,1.0006716,1.4304003
181,181,1.2940404,0.25152004,0.21223208,0.025983999,0.028077751,0.001664,0.61086434,0.038143996,0.25702187,0.024597334,0.08088122,0.011200001,1.1988723,0.21322666,0.522293,0.052479997,,0.5184092,1.4304003,0.52000135,1.4304003,0.99162734,1.4301014,1.0229341,2.8384216,0.65552014,1.7735893,0.9972498,1.4310828,1.0443678,1.4939306,1.0008061,1.4304003
182,182,1.2386245,0.252032,0.19010107,0.023680001,0.032291666,0.001984,0.59657377,0.037888,0.26201656,0.02500267,0.09092285,0.012821334,1.3307078,0.23786667,0.51768816,0.053695995,,0.51759684,1.4304003,0.5197675,1.4304003,0.991422,1.4300588,1.0218661,2.8393817,0.6508576,1.7615572,0.9974124,1.4308907,1.0505958,1.5025706,1.0007315,1.4304003
183,183,1.18151,0.260096,0.18526858,0.024575999,0.031944875,0.002176,0.54043454,0.038208004,0.25413263,0.027221333,0.10474839,0.015765334,1.4648885,0.27413335,0.47525293,0.056128003,,0.5169344,1.4304003,0.51965076,1.4304003,0.98998755,1.4301441,1.021457,2.8395307,0.6546265,1.7730987,0.997102,1.4312959,1.0557866,1.5099946,1.000418,1.4304003
184,184,1.1363881,0.269824,0.19575118,0.027520003,0.035092726,0.002624,0.53568506,0.042111997,0.24764994,0.030911995,0.113841034,0.018880002,1.5726533,0.30916268,0.44421807,0.06048,,0.5169663,1.4304003,0.5199852,1.4304003,0.98810595,1.4302082,1.0217189,2.8391469,0.664351,1.7994239,0.9965998,1.4317869,1.0598078,1.515904,0.99982125,1.4304003
185,185,1.123822,0.27475202,0.20223753,0.030080002,0.03411796,0.002752,0.5270875,0.045247998,0.24768236,0.034197338,0.11898398,0.020885335,1.7020142,0.34069332,0.41452867,0.063424,,0.51778066,1.4304003,0.52078897,1.4304003,0.985461,1.4300588,1.0231135,2.8376744,0.68320036,1.8482774,0.99592006,1.4320214,1.0617291,1.51872,0.9992996,1.4304003
186,186,1.1059922,0.28115204,0.19783199,0.032704,0.033515733,0.003136,0.49338618,0.047744,0.25614384,0.038912002,0.118447684,0.022464,1.802257,0.378176,0.38624075,0.067072,,0.5192765,1.4304003,0.5221232,1.4304003,0.983233,1.4299093,1.0252167,2.8344533,0.698249,1.8836265,0.9945633,1.4322985,1.0623014,1.5201279,0.99857044,1.4304003
187,187,1.1008376,0.29158399,0.19367132,0.035776,0.027272727,0.003008,0.47682884,0.053120006,0.2795211,0.047317334,0.11197653,0.023616,1.8489782,0.41894397,0.38322836,0.075264,,0.52051395,1.4304003,0.52379954,1.4304003,0.98111534,1.4297388,1.0279372,2.8313172,0.7108382,1.911552,0.9928607,1.4329813,1.0649709,1.5246294,0.9980353,1.4304003
188,188,1.0651025,0.29248002,0.18196562,0.035904,0.023131078,0.002944,0.44351816,0.055616,0.31958142,0.056682665,0.1125785,0.026005333,1.9201105,0.45992535,0.38187897,0.08038399,,0.5213964,1.4304003,0.5252727,1.4304003,0.9788355,1.4296322,1.030468,2.8298025,0.71910006,1.928768,0.99139965,1.4337066,1.069534,1.5310935,0.9980353,1.4304003
189,189,1.0328096,0.28608003,0.16664954,0.034560002,0.018859448,0.002688,0.4028436,0.0544,0.3436076,0.061120007,0.11201256,0.027392,2.0063503,0.4987733,0.3579414,0.079232,,0.52218413,1.4304003,0.5268162,1.4304003,0.9771794,1.4296108,1.0335091,2.8279676,0.72258574,1.9336319,0.990305,1.4338772,1.0737854,1.537088,0.9985406,1.4304003
190,190,0.98757267,0.30176002,0.16075432,0.036736004,0.017214997,0.00288,0.38791674,0.059584003,0.35505906,0.069845326,0.12195124,0.03328,1.9784178,0.5495253,0.36318797,0.089536004,,0.52275413,1.4304003,0.52766615,1.4304003,0.9766123,1.4297813,1.0363685,2.8274345,0.7181688,1.9192535,0.9888616,1.4337491,1.076463,1.5407144,0.9989571,1.4304003
191,191,0.9170321,0.312192,0.1487946,0.036735997,0.013040493,0.002432,0.38266256,0.06592,0.3555057,0.077759996,0.12499136,0.03867733,1.9168317,0.5988693,0.36692345,0.099584,,0.52358687,1.4304003,0.5282357,1.4304003,0.9759316,1.4298881,1.0390056,2.8271148,0.71832544,1.9184002,0.98906523,1.433728,1.0787483,1.5430187,0.9995679,1.4304003
192,192,0.8432101,0.30931196,0.13495333,0.03424,0.010679611,0.002112,0.38762838,0.069248,0.3323908,0.077738665,0.12171285,0.040384,1.9258357,0.640384,0.36530122,0.104256004,,0.52449614,1.4304003,0.5284355,1.4304003,0.9744719,1.4299947,1.0415622,2.827605,0.72161645,1.9256959,0.98998547,1.4340692,1.0797458,1.543616,1.0001196,1.4304003
193,193,0.7814499,0.30771202,0.12075711,0.032255996,0.009281221,0.00192,0.39308143,0.070784,0.30568096,0.07656533,0.11660604,0.04104533,1.9411335,0.68236804,0.3584383,0.107520014,,0.5253386,1.4304003,0.528523,1.4304003,0.97327197,1.430144,1.0436636,2.827989,0.7290641,1.9432534,0.99101126,1.4347519,1.0801731,1.5440427,0.9997468,1.4304003
194,194,0.7053599,0.304896,0.10719091,0.030592,0.009830379,0.002176,0.38555035,0.073088005,0.30082685,0.083050676,0.11403558,0.043071996,1.9563569,0.7363414,0.35883927,0.114752,,0.52587414,1.4304003,0.52865225,1.4304003,0.97183377,1.4301867,1.0446081,2.8290772,0.7389261,1.967616,0.99243534,1.4357972,1.0817473,1.5458775,0.99924016,1.4304003
195,195,0.63783187,0.29068804,0.096941344,0.028735999,0.01021535,0.002368,0.38044083,0.07328,0.29628545,0.086442664,0.11167237,0.043861333,2.025797,0.789056,0.350604,0.115775995,,0.5262167,1.4304003,0.52914864,1.4304003,0.969403,1.4302081,1.0442724,2.8299947,0.7493446,1.994048,0.9943327,1.4372481,1.0848736,1.5502293,0.9989126,1.4304003
196,196,0.5908128,0.27411196,0.092314236,0.027776,0.011444288,0.002752,0.37516746,0.07168,0.29057032,0.08716799,0.11537844,0.045952,2.1334698,0.84569603,0.32753828,0.11052801,,0.52616304,1.4304003,0.5296502,1.4304003,0.96554077,1.4304215,1.0441151,2.8315732,0.76042604,2.0250452,0.9945728,1.4386986,1.0896702,1.5572695,0.99834746,1.4304003
197,197,0.5646838,0.26995197,0.08794982,0.028416002,0.013405047,0.003456,0.3548866,0.07142401,0.3029416,0.094912015,0.12596609,0.053546667,2.178348,0.9143253,0.29796526,0.10777601,,0.5271061,1.4304003,0.53010255,1.4304003,0.96030414,1.4305921,1.0451162,2.8331733,0.7756412,2.0711894,0.9932016,1.4398934,1.0964705,1.5673387,0.9978276,1.4304003
198,198,0.54399145,0.27040002,0.087267436,0.030719997,0.015612036,0.004416,0.35263765,0.07872001,0.3169304,0.10634666,0.13920258,0.06442667,2.173903,0.9827201,0.3074016,0.121472,,0.5280194,1.4304003,0.5306712,1.4304855,0.9519768,1.4306561,1.0456469,2.8343892,0.7980583,2.1395624,0.98983455,1.4416214,1.1072308,1.5840428,0.9973228,1.4304003
199,199,0.52941906,0.27199998,0.081507154,0.031104002,0.013890811,0.004288001,0.3481746,0.085248,0.33606166,0.11912534,0.15455475,0.077312,2.1599312,1.047872,0.30360436,0.12991999,,0.5283814,1.4304003,0.53034264,1.4307201,0.93987674,1.4310187,1.045642,2.8361385,0.8224754,2.2141652,0.9845489,1.4450133,1.1218909,1.6069547,0.99551636,1.4304003
200,200,0.5095575,0.27411202,0.07499233,0.031296,0.011182008,0.003776,0.33121708,0.091263995,0.37172627,0.14079998,0.16862746,0.09173333,2.131053,1.1097387,0.29632005,0.13811201,,0.5280652,1.4304003,0.52937883,1.4309548,0.92394215,1.4318293,1.0449568,2.8373334,0.8438786,2.28192,0.9795046,1.450816,1.1435052,1.6400852,0.99323046,1.4304003
201,201,0.50480825,0.301248,0.07184907,0.034367997,0.010476346,0.004096,0.32507208,0.108288005,0.41385257,0.17934935,0.1905813,0.116032,2.0575006,1.1809067,0.31194043,0.16352,,0.52724713,1.4304003,0.5283879,1.4310828,0.9059755,1.4325334,1.0426984,2.8387198,0.8613993,2.33696,0.97479004,1.4584106,1.1687936,1.6783999,0.9912336,1.4304003
202,202,0.49020612,0.32620803,0.06701662,0.036224004,0.009229458,0.00416,0.32300082,0.1296,0.4496777,0.223232,0.21522494,0.14421333,2.0080364,1.2526292,0.32030654,0.18726401,,0.5254209,1.4304003,0.5270594,1.4310828,0.8874565,1.4334294,1.0387262,2.8392956,0.8763088,2.383616,0.9698773,1.4678614,1.1960621,1.7198292,0.9890696,1.4304003
203,203,0.46703216,0.33984,0.059747517,0.035136003,0.007826198,0.003904,0.30239573,0.13894399,0.47291002,0.25994667,0.231524,0.16561066,1.9918356,1.3115307,0.31413716,0.19980799,,0.5234438,1.4304003,0.5251012,1.4309975,0.8698544,1.433984,1.0348244,2.8400216,0.8853856,2.414293,0.96474004,1.4785066,1.2217954,1.757952,0.9863777,1.4304003
204,204,0.43588626,0.34214398,0.054400977,0.034176,0.007280129,0.003968,0.28855824,0.14688,0.4923033,0.29542398,0.25024763,0.18867202,1.9696838,1.3569493,0.31456673,0.214912,,0.52199304,1.4304003,0.52341306,1.4307629,0.85410637,1.4341335,1.0315915,2.840811,0.8939594,2.4448428,0.958414,1.4892374,1.2448335,1.7913386,0.9842927,1.4304003
205,205,0.40989935,0.342208,0.050811637,0.033855997,0.007473736,0.004416001,0.2786274,0.15468799,0.5052695,0.32729605,0.26423734,0.21053866,1.9488604,1.3934509,0.31313008,0.22924799,,0.5219565,1.4304003,0.522593,1.4305282,0.8415964,1.4336853,1.0315152,2.8412163,0.91141427,2.4940374,0.9503002,1.4962136,1.2598639,1.8126719,0.9833544,1.4304003
206,206,0.38386273,0.33228797,0.050343316,0.034879997,0.007665837,0.0048,0.26975954,0.15865603,0.51688814,0.351936,0.2734842,0.22564268,1.9275972,1.4142293,0.31668973,0.244096,,0.5223103,1.4304003,0.5223306,1.4304003,0.83163524,1.4331093,1.0334883,2.8408747,0.93588907,2.5623891,0.942336,1.5001388,1.2683362,1.8239148,0.9823602,1.4304003
207,207,0.35437027,0.31552,0.048783373,0.0352,0.008196455,0.005376,0.25659946,0.15801601,0.52441424,0.37437865,0.2743066,0.23377067,1.8793832,1.4246827,0.31620312,0.254912,,0.52339476,1.4304003,0.52288556,1.4303361,0.8221456,1.4320855,1.0360956,2.8395095,0.9629178,2.6330028,0.93430984,1.5022507,1.2717216,1.8269655,0.9817848,1.4304003
208,208,0.3312338,0.30739203,0.048960317,0.037823997,0.008725158,0.006144,0.2568543,0.16928001,0.53878516,0.41252267,0.27996114,0.2518187,1.7993606,1.4528854,0.31175163,0.266048,,0.52465206,1.4304003,0.5242031,1.4302722,0.8115096,1.4313385,1.038561,2.8377812,0.99282366,2.7093337,0.9250555,1.5035732,1.2727071,1.8270507,0.98210126,1.4304003
209,209,0.32479194,0.317184,0.052711647,0.044352002,0.008607722,0.006592,0.2651885,0.192384,0.559686,0.46860796,0.28221497,0.272576,1.7098504,1.4956586,0.31653908,0.290176,,0.52552795,1.4304003,0.5255184,1.4302508,0.7998569,1.4308693,1.0409184,2.836139,1.0259129,2.7931094,0.9157457,1.5059841,1.27481,1.8292266,0.9825907,1.4304003
210,210,0.31185585,0.32019198,0.050775945,0.046208005,0.008605318,0.007104,0.2665502,0.21164799,0.58270717,0.52936536,0.28522474,0.29297066,1.6339889,1.5400107,0.31234276,0.30464,,0.52569276,1.4304003,0.5260651,1.4301227,0.78840226,1.4302081,1.040919,2.8350081,1.0536147,2.8675625,0.9081129,1.5108479,1.280486,1.8369067,0.98321015,1.4304003
211,211,0.28934136,0.31046402,0.045143995,0.04384,0.007472527,0.006527999,0.25531602,0.21849602,0.6003702,0.58124804,0.28589717,0.3096533,1.5669641,1.5809708,0.2992262,0.30688,,0.5253839,1.4304003,0.52540624,1.43008,0.7769948,1.4302505,1.0385873,2.8342187,1.072326,2.9222403,0.90131176,1.5185493,1.2908775,1.8523095,0.9831667,1.4304003
212,212,0.27617416,0.31046396,0.043879673,0.04512,0.006353152,0.005888,0.24943255,0.22975999,0.6226977,0.6382933,0.29212934,0.33169067,1.5140699,1.6207573,0.3035785,0.32575998,,0.5237177,1.4304003,0.5238367,1.4301441,0.7650737,1.4306347,1.0347962,2.8340056,1.0839902,2.9666986,0.8957337,1.530496,1.3057475,1.8751787,0.98113835,1.4304003
213,213,0.26381177,0.307136,0.041472733,0.04448,0.005455382,0.005312,0.24271424,0.23808001,0.6461808,0.69175464,0.2991541,0.35159466,1.4813979,1.6496215,0.30759647,0.342336,,0.5225016,1.4304003,0.5213554,1.4301655,0.7513439,1.431232,1.0309982,2.8332162,1.1010916,3.025365,0.88951623,1.5464962,1.3255539,1.9047253,0.9779899,1.4304003
214,214,0.24621247,0.29504,0.03624341,0.039872,0.004860702,0.004928,0.23011403,0.235136,0.66137916,0.7284695,0.3076185,0.36927998,1.4683249,1.6737494,0.30894482,0.35257605,,0.521656,1.4304003,0.5188533,1.4301867,0.7368397,1.4318507,1.0273331,2.8320427,1.1139584,3.0734084,0.8838082,1.56608,1.3463998,1.9359146,0.97440827,1.4304003
215,215,0.23480327,0.29055998,0.033677977,0.03808,0.00408703,0.004352,0.22311819,0.23788801,0.6774255,0.77058136,0.3213048,0.39566934,1.4527667,1.7040215,0.3180778,0.373632,,0.52066356,1.4304003,0.5168198,1.4303148,0.7210843,1.4336001,1.0241759,2.8305707,1.1274928,3.124821,0.8771065,1.5900372,1.3661884,1.9663787,0.96946317,1.4304003
216,216,0.23948494,0.308288,0.033484083,0.039488003,0.005013896,0.005696,0.23270482,0.26278394,0.69919425,0.83673596,0.34197307,0.4388053,1.4332317,1.7424428,0.33001095,0.40473598,,0.5197313,1.4304003,0.51500905,1.4303573,0.70460236,1.4347733,1.0209355,2.8286936,1.1456814,3.1883307,0.86926556,1.6177706,1.3853694,1.9969709,0.9645402,1.4304003
217,217,0.2499044,0.33465597,0.03495609,0.043136,0.005860097,0.007104,0.2530776,0.303488,0.7216915,0.9153281,0.36773476,0.4945493,1.411141,1.7855786,0.34504452,0.44332793,,0.51919603,1.4304003,0.5135889,1.4303575,0.68878525,1.4356267,1.0184588,2.826112,1.1681762,3.2608001,0.85784787,1.6460798,1.4012446,2.0224855,0.95994174,1.4304003
218,218,0.24970187,0.348416,0.034868255,0.045311995,0.006043891,0.007807999,0.2641234,0.33602133,0.7402332,0.99436796,0.38950378,0.5503574,1.3845757,1.8299733,0.35267863,0.47539198,,0.518245,1.4304003,0.51249325,1.4304003,0.67493117,1.4361814,1.0153481,2.8240213,1.1832973,3.3161604,0.848078,1.6742826,1.4119763,2.0422826,0.9549515,1.4304003
219,219,0.24481079,0.35552007,0.034420576,0.047232006,0.005915678,0.008063999,0.27105185,0.36552536,0.7529355,1.0683733,0.40870956,0.6058667,1.3560709,1.869888,0.3584251,0.505152,,0.5160908,1.4304003,0.51037896,1.4304003,0.6598056,1.4367787,1.011177,2.8216746,1.196205,3.3688958,0.8367198,1.7016962,1.41933,2.05952,0.9489909,1.4304003
220,220,0.24122332,0.36294398,0.035704736,0.051327992,0.006124379,0.008704,0.2797848,0.39603204,0.76103294,1.1297706,0.4232296,0.65267193,1.335687,1.9048107,0.36978504,0.540608,,0.5134666,1.4304003,0.50731283,1.4304003,0.6431271,1.437312,1.0058059,2.8198614,1.2054906,3.4135895,0.82108235,1.7288532,1.4253576,2.0762026,0.9412906,1.4304003
221,221,0.22349985,0.345408,0.03411731,0.050752003,0.005633391,0.008234667,0.27985537,0.40949336,0.7639271,1.1693015,0.43266737,0.68377596,1.3253695,1.9302186,0.37206715,0.557184,,0.5116681,1.4304003,0.5046249,1.4304003,0.62292266,1.4377385,1.000462,2.8174293,1.2142203,3.4522452,0.7985345,1.7530453,1.429562,2.0894935,0.9334022,1.4304003
222,222,0.19943544,0.315008,0.0299912,0.045824,0.005211903,0.007786667,0.27300537,0.4093013,0.7635193,1.1942828,0.43549848,0.6997333,1.3162739,1.9494613,0.36439663,0.5559041,,0.50975424,1.4304003,0.5014435,1.4304003,0.6071518,1.4383572,0.9941471,2.8155518,1.2186557,3.4778028,0.7828193,1.7762773,1.4344978,2.1031039,0.9267324,1.4304003
223,223,0.19455619,0.313664,0.029712696,0.046464004,0.005078125,0.007765333,0.28536248,0.4374827,0.77166736,1.2333013,0.4502903,0.7330774,1.3072537,1.9700694,0.37458882,0.58297604,,0.5071901,1.4304003,0.49836844,1.4303148,0.5947882,1.4388481,0.9878321,2.812608,1.2203937,3.4930985,0.77008307,1.7974187,1.440818,2.1161811,0.92164963,1.4304003
224,224,0.19682196,0.324224,0.030120239,0.048256,0.005762675,0.009087999,0.31429544,0.49506137,0.78982323,1.2911147,0.4711253,0.77830404,1.2952062,1.9931947,0.38269222,0.60934395,,0.5049175,1.4304003,0.4957736,1.4301655,0.5858746,1.4389333,0.9810507,2.8098342,1.2212195,3.5040853,0.75897115,1.8174508,1.4447265,2.125867,0.9172117,1.4304003
225,225,0.1947375,0.327616,0.028511709,0.046848007,0.005966165,0.009728,0.34043506,0.55189335,0.8089958,1.3556266,0.4930255,0.82792526,1.28238,2.018432,0.38671753,0.631552,,0.50284624,1.4304003,0.49386305,1.4300588,0.5776141,1.4388906,0.9745197,2.807552,1.2229213,3.5168211,0.7479586,1.8369066,1.4483553,2.1349761,0.91378665,1.4304003
226,226,0.19457376,0.33536002,0.028115144,0.04736,0.006327513,0.010666668,0.36218986,0.60505605,0.8259466,1.4189013,0.51182616,0.87712,1.2696795,2.0497708,0.39704308,0.66687995,,0.49970198,1.4304003,0.4912309,1.429888,0.5700053,1.4389548,0.96669614,2.80512,1.2231009,3.530176,0.74042535,1.8588587,1.4518118,2.1435091,0.9111295,1.4304003
227,227,0.19378792,0.340736,0.028425794,0.048896004,0.006435656,0.011157334,0.38501212,0.6593707,0.8422797,1.4742186,0.5324747,0.9304533,1.2612127,2.0798507,0.41092628,0.70732796,,0.4962881,1.4304003,0.488844,1.4297814,0.5581089,1.439296,0.958606,2.8021972,1.2221707,3.5430827,0.7303765,1.8798294,1.4554055,2.1531308,0.90809375,1.4304003
228,228,0.18566334,0.331968,0.028566198,0.04992,0.006608645,0.011712,0.40212572,0.70141876,0.84980404,1.5079466,0.5442062,0.9689599,1.2546073,2.1058133,0.42309794,0.7420799,,0.49256203,1.4304003,0.48631164,1.4298028,0.54526734,1.440448,0.95065117,2.800299,1.2191565,3.5568423,0.7218346,1.9026558,1.4583591,2.1633494,0.90374863,1.4304003
229,229,0.17459548,0.31583998,0.027174238,0.048,0.006456581,0.011626667,0.40859035,0.7210454,0.8532716,1.5281707,0.55167085,0.9973973,1.2550751,2.1366398,0.43230882,0.7699201,,0.4890449,1.4304003,0.48393872,1.429888,0.5331277,1.4417706,0.941171,2.7949014,1.2151556,3.5735042,0.7179045,1.9298345,1.4681672,2.1823149,0.897855,1.4304003
