pixel,wavelength,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int,,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int
,,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70
15,15,1.1244514,0.327872,0.14844927,0.031551998,0.039360393,0.004096,0.30126184,0.048896004,0.096828595,0.018367998,0.052460346,0.008256,0.14366578,0.034112,0.37074146,0.04736,,0.66041154,1.4302508,0.6854903,1.4302508,0.9990908,1.4299095,0.68105346,1.5262718,0.8319406,1.437824,0.9819903,1.4028374,1.004843,1.4340693,0.9914047,1.4197762
16,16,1.1740321,0.32985604,0.15196079,0.031744,0.03364486,0.003456,0.29832637,0.045631997,0.09593438,0.017216,0.04910127,0.007168,0.14031182,0.032256,0.35991383,0.042752005,,0.6566177,1.4301869,0.6800204,1.4300376,0.99925464,1.4298455,0.67919743,1.5325012,0.82349414,1.436736,0.9808928,1.4018346,1.0033183,1.431936,0.99317837,1.4225281
17,17,1.1918987,0.33708802,0.1681177,0.03584,0.030429592,0.003264,0.30779004,0.046528004,0.09437891,0.017408002,0.05293339,0.00768,0.14285715,0.033216,0.36605206,0.0432,,0.6500461,1.4301015,0.6726546,1.4298881,0.99929935,1.4298668,0.67865705,1.5395198,0.81294626,1.4352425,0.97957546,1.4007252,1.0011206,1.4293548,0.99538136,1.4252801
18,18,1.2082748,0.33081597,0.17790662,0.037311997,0.028553693,0.002944,0.30035335,0.04352,0.09046962,0.016768,0.056200646,0.007744,0.13342737,0.030272001,0.34715024,0.038592,,0.6416279,1.4301015,0.66710144,1.4296535,0.9992398,1.4298668,0.67739946,1.5466241,0.80467147,1.4338346,0.9787199,1.400128,0.9981485,1.4261335,0.997541,1.428032
19,19,1.1898954,0.305984,0.17284358,0.033728,0.019649124,0.001792,0.2641777,0.035776,0.07708934,0.013696,0.05949301,0.00736,0.11571515,0.024128,0.32117262,0.031552,,0.63296646,1.4301869,0.66189235,1.4294616,0.99921,1.4300374,0.67405236,1.5563095,0.79907954,1.433536,0.97787744,1.3994026,0.9955533,1.4234025,0.9988972,1.4298242
20,20,1.178461,0.29203203,0.16461918,0.030016001,0.018942384,0.001536,0.2472745,0.031935997,0.068190336,0.011648001,0.06599553,0.007552,0.10943149,0.021312002,0.2947068,0.026368001,,0.6219145,1.4302508,0.6534824,1.4295895,0.99897176,1.4302081,0.671395,1.5731627,0.79240817,1.433536,0.97904265,1.4012374,0.99546367,1.4232106,0.99874824,1.4296322
21,21,1.1856271,0.286144,0.16207153,0.02784,0.026876738,0.001856,0.25051332,0.031231998,0.06164384,0.010368,0.07126567,0.007999999,0.11407102,0.021375997,0.25956488,0.022144003,,0.6080169,1.4303149,0.6408423,1.4297175,0.998719,1.4303148,0.6704958,1.5963308,0.7811297,1.4334292,0.98315614,1.4070827,0.9974161,1.424704,0.9986736,1.4294401
22,22,1.2023251,0.27801603,0.1583435,0.024960002,0.03765227,0.002176,0.23694131,0.028160002,0.059220977,0.009535999,0.070995145,0.007488,0.117520615,0.020992002,0.20168708,0.016832,,0.59548134,1.4304003,0.6298883,1.4298028,0.9988827,1.4303788,0.6678478,1.6164693,0.7723483,1.4330666,0.9878195,1.413504,0.9991927,1.426048,0.99898624,1.4294401
23,23,1.2276748,0.27539203,0.15411255,0.022784002,0.03783102,0.00192,0.24008809,0.027904,0.053705245,0.008256,0.072025724,0.007168,0.12047304,0.020864002,0.18492064,0.014912,,0.58460414,1.4304003,0.6179091,1.4300162,0.9992698,1.4304641,0.6675327,1.6390613,0.763194,1.4329813,0.9926195,1.4202454,1.0012116,1.4279681,0.99923944,1.4294401
24,24,1.2572483,0.283072,0.15883377,0.02336,0.03689567,0.001856,0.2799564,0.032896,0.051335555,0.007871999,0.07682375,0.007615999,0.13103193,0.022592,0.18745038,0.015104001,,0.5734446,1.4304003,0.6044468,1.4302082,0.99956757,1.4303788,0.6724171,1.6680534,0.7504526,1.432576,0.99405044,1.4221867,1.0024981,1.4296106,0.9987768,1.4284161
25,25,1.2959466,0.29875198,0.17933886,0.027776001,0.038777906,0.002112,0.2994379,0.037504,0.059202574,0.009407999,0.08706315,0.009087999,0.13828653,0.024896,0.2173591,0.018752003,,0.5685914,1.4304003,0.59712136,1.4302508,0.99992555,1.4303575,0.6809744,1.6902403,0.7422118,1.4322987,0.9913501,1.4180908,1.0018541,1.4292907,0.9970462,1.4258347
26,26,1.3245419,0.30534402,0.19270836,0.030784003,0.03135498,0.001792,0.30605158,0.039488,0.06105007,0.0096,0.09032668,0.009023999,0.13586764,0.024704,0.23682316,0.020992002,,0.56991565,1.4304003,0.5945991,1.4303361,1.0003134,1.4304003,0.68709475,1.7005652,0.73870355,1.4316586,0.9873702,1.4126083,1.0008816,1.4289919,0.99503225,1.4229333
27,27,1.3822197,0.312448,0.20070839,0.03264,0.02219626,0.001216,0.30914518,0.039808,0.06186869,0.009408001,0.09876543,0.009215999,0.1267756,0.022848003,0.25663716,0.022272,,0.5741222,1.4304003,0.5951537,1.4304003,1.0002239,1.4304003,0.69023335,1.7063892,0.740464,1.431232,0.9814387,1.4043734,1.0001194,1.429056,0.99257195,1.419648
28,28,1.4388114,0.337856,0.22152369,0.038335998,0.02485876,0.001408,0.31400958,0.041599993,0.06685925,0.010368,0.10600945,0.010048,0.13582344,0.025600003,0.27884614,0.025984,,0.57802725,1.4304003,0.5965356,1.4304003,1.0000597,1.4304003,0.6889099,1.7141547,0.73941946,1.4305066,0.97511595,1.3952427,0.99928373,1.4287573,0.99114084,1.4177068
29,29,1.5061291,0.35385603,0.22947294,0.04096,0.03073286,0.001664,0.30638093,0.040256005,0.0731508,0.011456001,0.102475934,0.009536,0.13891657,0.026751999,0.2878989,0.027711997,,0.57996225,1.4304003,0.598757,1.4304003,0.9998958,1.4304003,0.6869561,1.7265279,0.73748994,1.4302506,0.9718465,1.3903575,0.999254,1.4289067,0.9914093,1.4180907
30,30,1.56032,0.349312,0.22068964,0.038912002,0.029769959,0.001408,0.30167013,0.036992002,0.06964964,0.010559999,0.09662922,0.008256,0.1437522,0.026432004,0.28432056,0.026112,,0.5776688,1.4304003,0.5967055,1.4304003,0.9998511,1.4304003,0.68832505,1.7609813,0.7300894,1.4301654,0.9705307,1.3883094,0.99929875,1.4290346,0.99328697,1.42048
31,31,1.5969839,0.345664,0.2205281,0.037952002,0.032835823,0.001408,0.28555742,0.033280004,0.07022107,0.010368,0.10164191,0.00832,0.1460838,0.025664,0.28437048,0.025152002,,0.5683167,1.4304003,0.5860759,1.4304003,0.9998212,1.4303361,0.7047637,1.8451201,0.71252924,1.4303787,0.9739054,1.3925549,0.9995225,1.4294187,0.9955985,1.4235733
32,32,1.5984322,0.33932796,0.22801676,0.038336,0.037764348,0.0016,0.2737819,0.030207997,0.069389544,0.010112,0.10489512,0.008640001,0.1490545,0.025728,0.2877324,0.024768,,0.5532544,1.4304003,0.5685385,1.4304003,0.99989563,1.4302722,0.7269124,1.9448533,0.6887945,1.4310614,0.9802847,1.4012374,0.9994479,1.4290134,0.9978962,1.4268587
33,33,1.5832533,0.317056,0.24119787,0.038143996,0.037617557,0.001536,0.25923645,0.026944,0.06750675,0.0096,0.10571653,0.008640001,0.14358373,0.023488002,0.28141868,0.023360003,,0.53995514,1.4304003,0.55466866,1.4304003,1.0000149,1.4302082,0.7475305,2.0261545,0.67374325,1.4319146,0.9866271,1.4102402,0.9998208,1.4286934,0.9991943,1.4288001
34,34,1.5236341,0.29088,0.24833998,0.035904,0.03370787,0.001344,0.23818903,0.023232004,0.062881276,0.008576,0.10599835,0.008256,0.1304165,0.01984,0.27029225,0.021312,,0.5304967,1.4304003,0.54447126,1.4304003,1.0001938,1.4301441,0.7649274,2.0893655,0.66356266,1.4320639,0.9923583,1.4184321,0.9999849,1.4280746,0.9995375,1.4294401
35,35,1.506588,0.27808,0.26038647,0.034496002,0.031746034,0.00128,0.21438551,0.019648002,0.059019517,0.007936,0.108677335,0.008256,0.11481977,0.016512001,0.26315784,0.020159999,,0.52378315,1.4304003,0.5376431,1.4304003,1.0003878,1.4301441,0.7808119,2.1362345,0.65713197,1.432064,0.99382156,1.4206295,0.99974597,1.4272214,0.9987321,1.4283522
36,36,1.5243989,0.275904,0.27453986,0.034367997,0.032012194,0.001344,0.19113374,0.016832002,0.06446992,0.008640001,0.10185932,0.008063999,0.12928277,0.018112,0.2755187,0.021248,,0.5222532,1.4304003,0.5362113,1.4304003,1.0005821,1.4302082,0.7853467,2.1419733,0.65642726,1.4319147,0.9902111,1.4156587,0.9990286,1.4262614,0.99680793,1.4256642
37,37,1.5262375,0.262464,0.26866484,0.031552,0.023659308,0.00096,0.18068534,0.014848,0.060987897,0.007743999,0.08767575,0.006784,0.14626867,0.018816,0.27595153,0.020415999,,0.5231947,1.4304003,0.5377768,1.4304003,1.0007465,1.4302722,0.78871435,2.1484158,0.6556854,1.4317653,0.98443925,1.4076802,0.9984611,1.425792,0.99513704,1.4231682
